text_lowercase,classification
deeds reason earthquake may allah forgive us,Desastre
forest fire near la ronge sask. canada,Desastre
residents asked shelter place notified officers. evacuation shelter place orders expected,Desastre
"13,000 people receive wildfires evacuation orders california",Desastre
got sent photo ruby alaska smoke wildfires pours school,Desastre
rockyfire update => california hwy. 20 closed directions due lake county fire cafire wildfires,Desastre
"flood disaster heavy rain causes flash flooding streets manitou, colorado springs areas",Desastre
im top hill see fire woods...,Desastre
theres emergency evacuation happening building across street,Desastre
im afraid tornado coming area...,Desastre
three people died heat wave far,Desastre
haha south tampa getting flooded hah wait second live south tampa gonna gonna fvck flooding,Desastre
raining flooding florida tampabay tampa 18 19 days. ive lost count,Desastre
flood bago myanmar arrived bago,Desastre
damage school bus 80 multi car crash breaking,Desastre
whats man,No desastre
love fruits,No desastre
summer lovely,No desastre
car fast,No desastre
goooooooaaaaaal!!!!!!,No desastre
ridiculous....,No desastre
london cool ;),No desastre
love skiing,No desastre
wonderful day!,No desastre
looooool,No desastre
way...i cant eat shit,No desastre
nyc last week!,No desastre
love girlfriend,No desastre
cooool :),No desastre
like pasta,No desastre
end!,No desastre
bbcmtd wholesale markets ablaze,Desastre
always try bring heavy. metal rt,No desastre
africanbaze: breaking news:nigeria flag set ablaze aba.,Desastre
crying more! set ablaze,No desastre
plus side look sky last night ablaze,No desastre
phdsquares mufc theyve built much hype around new acquisitions doubt set epl ablaze season.,No desastre
inec office abia set ablaze,Desastre
barbados bridgetown jamaica ûò two cars set ablaze: santa cruz ûó head st elizabeth police superintende...,Desastre
ablaze lord :d,No desastre
check out: nsfw,No desastre
outside youre ablaze alive youre dead inside,Desastre
awesome time visiting cfc head office ancop site ablaze. thanks tita vida taking care us,Desastre
soooo pumped ablaze southridgelife,Desastre
wanted set chicago ablaze preaching... hotel!,No desastre
gained 3 followers last week. know stats grow,No desastre
west burned: thousands wildfires ablaze california alone,Desastre
building perfect tracklist life leave streets ablaze,No desastre
check out: nsfw,No desastre
first night retainers in. quite weird. better get used it; wear every single night next year least.,No desastre
deputies: man shot brighton home set ablaze,Desastre
man wife get six years jail setting ablaze niece,Desastre
santa cruz ûó head st elizabeth police superintendent lanford salmon r ...,Desastre
police: arsonist deliberately set black church north carolinaåêablaze,Desastre
noches elbestia alexis_sanchez: happy see teammates training hard goodnight gunners.,Desastre
kurds trampling turkmen flag later set ablaze others vandalized offices turkmen front diyala,Desastre
truck ablaze : r21. voortrekker ave. outside tambo intl. cargo section.,Desastre
set hearts ablaze every city gift every skyline like kiss upon lips û_,No desastre
sky ablaze tonight los angeles. im expecting ig fb filled sunset shots know peeps!!,No desastre
west burned: thousands wildfires ablaze california alone climate energy,Desastre
revel wmv videos means mac farewell ablaze wmv en route dvd: gtxrwm,No desastre
progressive greetings! month students would set pens ablaze torch publications...,No desastre
rene ablaze amp; jacinta secret 2k13 (fallen skies edit) mar 30 2013,Desastre
navista7 steve fires something else! california tinderbox clown setting hood ablaze news24680,Desastre
nowplaying: rene ablaze amp; ian buff magnitude edm,No desastre
nxwestmidlands huge fire wholesale markets ablaze,Desastre
ablaze time talk go dont know make due work.,No desastre
cant kids cuz got bicycle accident amp; split testicles. impossible kids michael father,No desastre
accident i24 w nashvilletraffic. traffic moving 8m slower usual.,Desastre
accident center lane blocked santaclara us101 nb great america pkwy bayarea traffic,Desastre
personalinjury accident summer read advice amp; see solicitor help otleyhour,No desastre
stlouis caraccidentlawyer speeding among top causes teen accidents car accident teeû_,No desastre
reported motor vehicle accident curry herman rd near stephenson involving overturned vehicle. please use...,Desastre
bigrigradio live accident awareness,No desastre
i77 mile marker 31 south mooresville iredell vehicle accident ramp closed 8/6 1:18 pm,Desastre
rt sleepjunkies: sleeping pills double risk car accident,No desastre
accident knew gon happen,No desastre
traffic accident n cabrillo hwy/magellan av mir (08/06/15 11:03:58),Desastre
i77 mile marker 31 40 south mooresville iredell vehicle accident congestion 8/6 1:18 pm,Desastre
pastor scene accident......who owner range rover,Desastre
mom: didnt get home fast wished me: mom: accident truck spilt mayonnaise,No desastre
horrible car accident past sunday. im finally able get around. thank god,Desastre
wait see pissed donnie tell another accident,No desastre
truckcrash overturns fortworth interstate click youve crashgt;,Desastre
accident ashville us 23 sb sr 752 traffic,Desastre
carolina accident: motorcyclist dies i540 crash car crossed median: motorcycle rider traveling...,Desastre
fyi cad:fyi: ;accident property damage;nhs;999 piner rd/horndale dr,Desastre
rt naayf: first accident years. turning onto chandanee magu near mma. taxi rammed halfway turned. everyone confû_,Desastre
accident left lane blocked manchester rt 293 nb eddy rd stop go traffic back nh3a delay 4 mins traffic,Desastre
;accident property damage; piner rd/horndale dr,Desastre
accident,No desastre
fyi cad:fyi: ;accident property damage;wpd;1600 17th st,Desastre
8/6/20152:09 pm: traffic accident injury 2781 willis foreman rd,Desastre
aashiqui actress anu aggarwal nearfatal accident,Desastre
suffield alberta accident,Desastre
9 mile backup i77 south...accident blocking right 2 lanes exit 31 langtree rd...consider nc 115 nc 150 nc 16 alternate,Desastre
accident changed life help determine options financially support life care plans ongoing treatment.,No desastre
breaking: deadly motorcycle car accident happened hagerstown today. ill details 5 your4state. whag,Desastre
flowri marinading accident,No desastre
car even week got fucking car accident .. mfs cant fucking drive .,Desastre
